id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1088936908513365343,2 Bdr Apt! Spotless! Garage Parking! 216D2,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.54516,153.01151,Entire home/apt,321,1,15,2025-08-02,0.71,105,345,2,
1089569905784712840,Resort style accommodation,100144019,Irina,,Coorparoo,-27.49344,153.05763,Entire home/apt,217,2,1,2024-12-27,0.09,1,60,1,
1089908169255518629,Garden Flat in Toowong,55176144,Kirstin,,Toowong,-27.483,152.99243,Entire home/apt,180,3,26,2025-10-28,1.23,1,45,18,
1090278917659888969,West End Studio 2,381016652,Meghan,,West End,-27.48358,153.00524,Entire home/apt,135,2,17,2024-11-08,0.82,1,310,0,
1090289305242607146,Tranquil 2BR Garden Getaway,2577898,Lindsay,,Tarragindi,-27.53265,153.04825,Entire home/apt,244,2,91,2025-11-06,4.87,1,144,51,
1090399483904799702,Skyline&Riverview Homey 1B Apt/Top Location/Free P,523844737,Guangyu,,South Brisbane,-27.4743789,153.0159166,Entire home/apt,190,1,88,2025-10-28,4.36,23,95,64,
1090729060495958561,Easy Boho Escape | East Brisbane | Free Parking,271071073,Kezzi,,East Brisbane,-27.47934503675985,153.04191988465575,Entire home/apt,132,2,22,2025-09-21,1.34,8,323,17,
1090886945062805146,Downtown Glamour: Chic 2BR+2BD: Pool& Free Parking,482165605,Dan,,Fortitude Valley,-27.45765,153.03261,Entire home/apt,227,2,60,2025-10-22,3.02,14,270,36,
1090919727352818648,Bayside Bliss - By the Water & Near the Airport,33488214,Claire,,Wynnum,-27.44579,153.17909,Entire home/apt,205,1,16,2025-11-02,0.93,1,110,8,
1090947909307285158,Independent luxurious house close to high way,484338226,Emma,,Rochedale - Burbank,-27.57189,153.1196,Entire home/apt,193,3,13,2025-10-16,0.94,12,48,11,
1091209828861771908,Heart of the City! 1 Bed 1 Bath,23468143,Nina,,Brisbane City,-27.46598,153.03046,Entire home/apt,205,90,2,2025-03-05,0.10,1,283,1,
1091650522403311091,Top Floor Apt - Stunning Views,147451752,Coby Lee,,Fortitude Valley,-27.45581,153.03811,Entire home/apt,332,2,16,2025-01-06,0.80,8,70,3,
1091820108466162029,cozy room for rent,38227361,Katie,,Sunnybank Hills,-27.59922,153.04213,Private room,,1,11,2025-07-03,0.53,2,65,2,
1092322702616029113,3 Bed Budget Brisbane Gem With Parking Near Gabba,562149441,Paul,,Woolloongabba,-27.49345,153.0368,Entire home/apt,214,2,5,2025-10-20,0.33,2,338,4,
1092370577891885479,Groups | Acreage | 9 Bedrooms | Pool | Sleeps 16,46505576,Brookfield Retreat,,Brookfield - Kenmore Hills,-27.50985,152.92285,Entire home/apt,1170,1,0,,,5,188,0,
1092396051237388201,"Valley Pad w Infinity Pool, Huge Gym & Home Office",78924442,Lee,,Fortitude Valley,-27.457078353936126,153.0317587252527,Entire home/apt,164,1,71,2025-10-18,3.37,291,349,39,
1092474135200631847,Modern & Stylish Apt. with King Bed & Parking,331440566,Will,,South Brisbane,-27.4744272,153.015949,Entire home/apt,194,1,145,2025-10-23,6.93,13,125,75,
1092514205600952431,Sweet home for you!,527057848,Anh Thu Pham,,Forest Lake - Ellen Grove,-27.6163559,152.9675546,Private room,69,1,1,2024-02-22,0.05,4,269,0,
1092972846710929468,*Double bedroom with Aircon (Inner City),301948315,Alicia,,Annerley,-27.51145,153.03391,Private room,69,5,32,2025-10-17,1.53,7,119,18,
1094394633733891387,Sophisticated 2-Bed Home With Alfresco Dining,279001183,MadeComfy,,Fortitude Valley,-27.45062,153.03909,Entire home/apt,171,3,21,2025-10-24,1.32,68,345,12,
1094598197827897565,"2BR w Stunning City Views, Rooftop Pool & Car Park",78924442,Lee,,South Brisbane,-27.475909284839716,153.01628784670083,Entire home/apt,210,1,81,2025-10-27,3.89,291,329,53,
1094758607608855691,"A beautiful, quiet and comfortable place for you",527057848,Anh Thu Pham,,Forest Lake - Ellen Grove,-27.61537,152.96682,Private room,61,1,18,2025-11-03,0.90,4,269,14,
1094961317007120885,Nice room in the beauty house .,527057848,Anh Thu Pham,,Forest Lake - Ellen Grove,-27.6163559,152.9675546,Private room,50,1,23,2025-11-08,1.10,4,267,15,
1094994426129737495,"Clean,quite,private room for you",527057848,Anh Thu Pham,,Forest Lake - Ellen Grove,-27.6163559,152.9675546,Private room,61,1,15,2025-08-31,0.72,4,269,6,
